Customer ID,Purchase Date,Product Category,Product Price,Quantity,Total Purchase Amount,Payment Method,Customer Age,Returns,Customer Name,Age,Gender,Churn
38926,2020-09-24 12:43:39,Electronics,484,5,1237,Credit Card,43,1.0,Kara Mayer,43,Female,0
33536,2023-01-27 22:02:46,Books,20,3,4807,Cash,56,1.0,Kyle Love,56,Male,0
28047,2020-06-16 11:36:52,Home,73,4,309,Cash,39,1.0,James Sanchez,39,Female,0
42196,2021-05-26 08:49:16,Books,303,5,1747,Credit Card,59,1.0,Justin Ramirez,59,Male,0
4942,2023-02-28 05:04:33,Electronics,473,2,2127,Credit Card,67,1.0,Dakota Mendoza,67,Female,0
40224,2023-07-28 18:46:00,Electronics,360,2,1298,PayPal,33,,Nicole Reid,33,Female,0
36523,2022-10-14 22:11:40,Books,257,3,623,Cash,57,1.0,Christopher Fernandez,57,Male,1
44988,2021-03-28 21:14:05,Clothing,487,2,3616,Credit Card,45,1.0,Corey Valencia,45,Male,0
3587,2021-09-21 20:29:33,Electronics,335,2,1700,PayPal,42,0.0,Michael Dyer,42,Female,1
18818,2023-03-17 22:56:48,Electronics,150,2,2743,Credit Card,29,1.0,Alyssa Johnson,29,Male,0
18306,2023-03-17 13:34:57,Books,413,2,1768,Cash,65,0.0,Megan Ibarra,65,Female,1
23583,2021-01-13 21:06:55,Electronics,482,5,392,Credit Card,23,1.0,Dwayne Sullivan,23,Female,0
49529,2023-07-08 23:26:32,Electronics,54,3,1706,Cash,41,1.0,James Lucas,41,Female,1
887,2021-09-14 13:14:43,Books,262,2,2794,Credit Card,49,,Steven Casey,49,Male,1
31431,2021-04-19 06:46:35,Clothing,464,4,5014,Cash,67,1.0,Christopher Smith,67,Male,1
16086,2023-08-14 10:58:24,Home,263,1,2944,Credit Card,61,0.0,Kevin Armstrong,61,Male,0
2399,2022-09-11 13:22:15,Books,365,1,2517,Credit Card,61,1.0,Shannon Jones,61,Male,1
8621,2022-03-11 05:20:54,Home,385,5,4135,PayPal,52,0.0,James Reeves,52,Male,1
20625,2023-05-16 00:13:29,Books,403,5,1472,PayPal,69,1.0,Kimberly Snyder,69,Male,0
17138,2021-10-24 18:19:47,Clothing,381,2,4862,Credit Card,41,0.0,Stephanie Smith,41,Female,0
30958,2023-07-06 21:18:06,Home,148,5,4152,Credit Card,40,,Jonathan Brown,40,Male,0
12314,2021-06-30 10:25:32,Electronics,45,3,1521,PayPal,28,0.0,Taylor Ramsey,28,Female,0
15463,2020-09-18 10:07:56,Home,85,1,4391,Credit Card,50,1.0,William Harding,50,Female,0
38150,2021-03-14 16:59:20,Electronics,222,4,3821,Cash,61,,Pamela Miller,61,Male,0
21715,2022-09-08 18:35:27,Clothing,441,1,4659,Cash,68,0.0,Jessica Pearson,68,Male,1
25046,2023-07-19 15:19:19,Clothing,342,1,1878,PayPal,69,0.0,Susan Harmon,69,Male,0
35294,2022-04-19 17:44:49,Electronics,404,4,3964,Credit Card,58,0.0,Roberto Rogers,58,Female,1
8991,2023-03-13 17:59:04,Clothing,171,2,4928,Credit Card,61,0.0,Christopher Espinoza,61,Male,0
31510,2020-03-27 14:21:34,Books,14,5,3059,PayPal,50,,Lori Joseph,50,Male,1
37099,2020-08-29 16:12:10,Books,234,4,3835,Cash,64,1.0,Catherine Moody,64,Female,1
24957,2022-10-25 15:02:39,Home,18,3,2449,PayPal,42,0.0,Ronald Johnson,42,Female,0
28936,2022-02-11 08:38:32,Clothing,490,3,4704,Credit Card,41,1.0,Nathan Harmon,41,Female,0
49062,2021-06-26 10:17:31,Home,274,4,2011,Credit Card,37,1.0,Kimberly Mills,37,Female,0
31425,2021-05-22 17:03:14,Electronics,406,3,4210,Credit Card,21,,Carla Hanson,21,Female,0
36318,2022-04-13 02:38:48,Home,70,1,977,Cash,66,1.0,Alexa Le,66,Female,0
18878,2020-01-14 13:58:41,Books,34,4,4440,Credit Card,62,0.0,Cynthia Bowen,62,Male,1
17184,2022-01-10 00:34:36,Electronics,44,1,3075,Cash,18,1.0,Dr. Brandon Poole,18,Female,0
4090,2021-01-02 13:12:49,Electronics,421,3,5066,Credit Card,64,1.0,Dawn Martinez,64,Male,0
29106,2021-06-23 12:02:31,Home,468,2,945,PayPal,24,0.0,Felicia Guzman,24,Female,1
12044,2023-06-26 19:24:05,Home,168,1,492,Cash,56,,Jennifer Smith,56,Male,0
38804,2021-02-06 23:48:17,Clothing,170,3,1602,Credit Card,58,1.0,James Hernandez,58,Female,0
1512,2023-02-21 06:01:21,Home,350,1,4272,Credit Card,62,1.0,Larry Lucas,62,Male,0
11252,2020-12-21 21:19:55,Home,12,4,3236,Credit Card,61,1.0,Rachel Lucas,61,Male,0
15306,2020-06-09 08:34:40,Clothing,283,1,1117,PayPal,35,,Mark Martin,35,Male,1
28811,2020-07-24 08:50:02,Clothing,281,3,824,PayPal,60,0.0,Michael Hernandez,60,Female,0
9470,2020-06-21 10:02:00,Clothing,114,5,2668,Cash,53,1.0,Tammy Gordon,53,Female,1
5104,2022-05-28 14:02:32,Clothing,331,4,5059,PayPal,44,,Alexander Williams,44,Male,0
6290,2022-04-04 07:16:25,Electronics,444,5,217,Cash,27,1.0,Timothy Wagner,27,Female,0
25021,2021-05-28 20:36:05,Books,482,1,2084,PayPal,36,1.0,Alex Garcia,36,Male,0
16841,2023-02-12 06:33:52,Clothing,478,4,936,Credit Card,54,1.0,Timothy Reed,54,Male,0
4117,2020-03-27 09:26:37,Clothing,289,2,4788,PayPal,46,1.0,Jeffrey George,46,Female,0
5229,2021-07-13 23:11:55,Electronics,322,4,3546,PayPal,44,1.0,Randall Phillips,44,Female,0
14149,2023-07-14 18:07:31,Books,70,4,4047,Credit Card,28,,Catherine Gates,28,Female,0
26116,2021-03-25 06:06:54,Clothing,203,5,3268,Credit Card,62,1.0,Larry Davis,62,Male,0
9518,2021-02-21 01:35:42,Clothing,471,5,4032,Credit Card,35,1.0,Keith Li,35,Male,0
29316,2021-03-13 21:30:29,Clothing,144,4,2761,PayPal,27,1.0,Ana Davis,27,Male,0
14040,2021-09-28 09:24:42,Clothing,224,3,2378,Cash,59,0.0,Kylie Berg,59,Male,0
18218,2021-04-13 20:36:13,Home,48,4,3467,Cash,45,1.0,Monica Haney,45,Male,0
27554,2020-06-25 08:47:34,Electronics,49,5,3679,Credit Card,46,0.0,William Bell,46,Male,0
30028,2021-06-20 13:48:16,Clothing,391,2,4600,Credit Card,47,0.0,Rose Cross,47,Female,1
21860,2023-04-27 11:16:14,Electronics,484,1,2260,PayPal,40,,Christopher Reyes,40,Male,1
25089,2023-09-03 13:15:16,Home,342,1,4213,PayPal,51,0.0,Peter Perry DDS,51,Female,0
28667,2021-07-23 04:03:44,Books,349,2,814,PayPal,67,0.0,Mitchell Bryan,67,Male,0
29719,2021-10-09 21:38:39,Home,133,1,351,PayPal,60,1.0,Jennifer Galvan,60,Female,0
14150,2022-10-26 06:38:29,Clothing,110,1,3898,Cash,42,,Amber Burnett,42,Male,0
4889,2021-06-15 16:17:54,Home,38,4,2059,Cash,41,0.0,Brandon Cabrera,41,Female,0
26581,2020-05-26 14:02:28,Books,41,4,2941,PayPal,24,0.0,Miguel Stephens,24,Male,1
34443,2021-12-22 06:22:18,Clothing,254,1,1465,Cash,59,0.0,Edwin Murphy,59,Female,1
18061,2023-08-03 05:55:39,Home,54,4,763,PayPal,30,1.0,Gregory Romero,30,Female,0
42807,2023-01-16 19:02:09,Clothing,393,3,2399,Cash,62,0.0,Randy Harris,62,Male,0
13647,2021-12-25 17:47:30,Books,428,2,3985,Credit Card,27,,Karen Cox,27,Male,0
36871,2023-01-12 09:49:55,Clothing,140,2,3082,Credit Card,49,1.0,Tammy Murphy,49,Male,0
5877,2021-01-31 03:11:25,Home,157,5,2258,PayPal,68,,Curtis Carey,68,Male,0
49428,2020-02-21 05:01:48,Books,419,4,3161,Credit Card,48,0.0,John Lopez,48,Female,0
15605,2020-03-05 14:03:46,Home,455,5,2139,PayPal,60,1.0,Anna Reyes,60,Female,1
1076,2023-02-21 15:01:45,Books,387,4,1727,PayPal,50,1.0,Brian Drake,50,Female,0
27480,2021-06-25 21:51:19,Electronics,48,5,1396,PayPal,43,0.0,Richard Carrillo,43,Female,1
25852,2021-02-25 17:58:55,Clothing,17,2,4048,PayPal,59,,Steven Lynch,59,Male,0
27789,2021-02-21 01:13:10,Books,437,3,2404,PayPal,32,1.0,Ann Cuevas,32,Male,0
33688,2021-11-29 13:13:54,Electronics,113,1,1198,PayPal,24,,Jordan Hawkins,24,Male,0
20390,2021-12-10 08:36:39,Books,486,1,1223,PayPal,18,0.0,Susan Thompson,18,Male,0
34461,2022-04-03 11:22:04,Books,317,1,4690,Cash,31,0.0,Patrick Thomas,31,Female,0
22025,2021-08-16 21:07:37,Home,160,1,3601,Cash,30,0.0,Ellen Martin,30,Male,0
37919,2020-08-03 10:15:03,Home,466,4,3763,PayPal,60,,Rachel Graham,60,Female,1
15562,2022-06-22 22:50:35,Books,152,5,1611,Cash,18,0.0,Donald Roberts MD,18,Female,1
23688,2023-08-03 02:31:01,Clothing,55,2,4000,Credit Card,54,1.0,Richard Powell,54,Female,0
31387,2022-09-05 01:39:31,Clothing,123,1,4785,Credit Card,55,1.0,Kyle Medina,55,Female,0
24474,2023-02-05 14:04:15,Books,196,4,1462,Credit Card,49,0.0,Dean Decker MD,49,Female,0
36576,2022-12-08 01:42:52,Electronics,499,2,593,Cash,61,0.0,Paul Whitehead,61,Female,1
45106,2021-09-11 20:53:46,Home,10,2,5021,Credit Card,56,,Kaylee Frazier,56,Female,0
16858,2020-11-06 22:40:43,Books,136,3,4850,Cash,38,1.0,Dakota Welch,38,Male,1
44753,2020-11-23 12:52:34,Home,198,1,3521,Cash,29,0.0,Amy White,29,Female,0
49591,2020-05-18 15:49:59,Home,230,1,2568,Cash,34,1.0,Sergio Smith,34,Male,0
46028,2020-07-04 23:43:15,Electronics,473,2,3713,Cash,69,0.0,Linda Wilson,69,Female,1
40569,2023-02-28 17:43:24,Home,399,4,1300,PayPal,43,0.0,Kim Patterson,43,Male,0
